@relation bank-data-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rfirst-last

@attribute age {jeune,age-moyen,vieux}
@attribute sex {MALE,FEMALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income {salaire-petit,salaire-moyen,salaire-grand}
@attribute married {YES,NO}
@attribute children {0,1,2,3}
@attribute car {YES,NO}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}

@data
age-moyen,?,INNER_CITY,salaire-petit,?,0,?,NO,NO,NO,YES
age-moyen,MALE,TOWN,salaire-moyen,YES,2,?,NO,YES,YES,NO
vieux,FEMALE,INNER_CITY,?,?,0,YES,YES,YES,?,NO
jeune,?,TOWN,salaire-petit,YES,2,NO,NO,YES,NO,NO
vieux,FEMALE,RURAL,?,?,0,NO,YES,NO,NO,NO
?,FEMALE,TOWN,salaire-moyen,YES,1,NO,?,?,NO,YES
jeune,MALE,RURAL,salaire-petit,NO,?,NO,NO,YES,NO,YES
vieux,MALE,TOWN,?,YES,0,YES,YES,YES,?,NO
age-moyen,FEMALE,SUBURBAN,salaire-moyen,YES,1,YES,NO,NO,?,NO
vieux,?,TOWN,salaire-petit,YES,?,YES,?,YES,NO,NO
vieux,FEMALE,TOWN,salaire-grand,?,0,NO,YES,YES,NO,NO
?,FEMALE,INNER_CITY,?,?,0,YES,YES,YES,YES,NO
age-moyen,FEMALE,?,salaire-petit,?,0,NO,?,?,YES,YES
vieux,FEMALE,?,?,?,0,YES,YES,YES,YES,YES
?,MALE,RURAL,?,YES,0,NO,YES,YES,YES,NO
age-moyen,FEMALE,INNER_CITY,?,YES,0,YES,?,YES,YES,NO
?,FEMALE,TOWN,salaire-petit,YES,1,NO,NO,?,YES,NO
age-moyen,FEMALE,SUBURBAN,salaire-moyen,?,0,NO,YES,NO,YES,NO
vieux,FEMALE,INNER_CITY,salaire-moyen,?,0,NO,YES,?,NO,YES
jeune,MALE,TOWN,salaire-petit,YES,0,YES,YES,YES,NO,NO
?,MALE,INNER_CITY,?,YES,?,NO,?,?,?,YES
?,MALE,TOWN,salaire-petit,YES,?,?,YES,YES,NO,NO
vieux,MALE,INNER_CITY,salaire-moyen,YES,0,NO,?,YES,NO,NO
jeune,FEMALE,TOWN,?,NO,?,YES,YES,YES,?,NO
?,?,?,salaire-petit,NO,1,YES,?,YES,NO,NO
vieux,MALE,INNER_CITY,?,YES,0,YES,YES,YES,YES,NO
age-moyen,MALE,?,salaire-petit,YES,0,NO,?,YES,YES,NO
age-moyen,FEMALE,TOWN,salaire-petit,YES,0,NO,NO,YES,?,YES
age-moyen,FEMALE,INNER_CITY,salaire-moyen,?,?,YES,?,YES,?,NO
vieux,MALE,RURAL,salaire-petit,YES,0,NO,NO,?,?,YES
vieux,?,?,salaire-petit,?,1,?,YES,YES,NO,NO
?,FEMALE,TOWN,salaire-petit,YES,1,NO,?,NO,NO,NO
age-moyen,MALE,?,salaire-petit,YES,0,YES,YES,YES,NO,YES
jeune,FEMALE,INNER_CITY,salaire-moyen,NO,2,YES,YES,NO,NO,NO
age-moyen,MALE,SUBURBAN,salaire-moyen,NO,0,NO,YES,YES,NO,YES
jeune,FEMALE,INNER_CITY,salaire-petit,YES,1,NO,YES,YES,?,NO
jeune,MALE,RURAL,salaire-petit,YES,2,YES,YES,YES,?,NO
age-moyen,?,RURAL,salaire-petit,NO,0,YES,?,?,NO,YES
age-moyen,FEMALE,TOWN,salaire-petit,YES,0,YES,YES,YES,NO,NO
vieux,FEMALE,SUBURBAN,?,NO,1,?,?,YES,NO,NO
vieux,MALE,TOWN,salaire-moyen,YES,0,NO,NO,YES,YES,YES
age-moyen,FEMALE,INNER_CITY,salaire-moyen,YES,?,YES,?,?,NO,NO
vieux,MALE,TOWN,?,?,1,?,YES,NO,NO,YES
jeune,FEMALE,TOWN,?,YES,0,YES,?,?,?,NO
?,MALE,INNER_CITY,?,?,?,YES,YES,YES,YES,NO
vieux,MALE,?,salaire-grand,YES,1,NO,?,YES,YES,YES
